matching_type;redcap_name;redcap_options;orakloncology_name;orakloncology_options;data_type
3;line;3;prior_lines_treatment;L3;clinical-profile
3;line;4;prior_lines_treatment;L4_or_more;clinical-profile
1;redcap_repeat_instrument;;redcap_repeat_instrument;;treatment
1;date_pdo;;date_cell_line;;clinical-profile
1;namepdo;;cell_line_code;;clinical-profile
1;line_num;;line_number;;treatment
1;pfs_met ;;PFS;;treatment
3;chemo_type;1;chemotherapy_type;folfirinox;treatment
3;chemo_type;2;chemotherapy_type;folfirinox_modified;treatment
3;chemo_type;3;chemotherapy_type;folfox;treatment
3;chemo_type;4;chemotherapy_type;folfiri;treatment
3;chemo_type;5;chemotherapy_type;gemcitabine;treatment
3;chemo_type;6;chemotherapy_type;gamcitabine,nab-paclitaxel;treatment
3;chemo_type;7;chemotherapy_type;paclitaxel;treatment
3;chemo_type;8;chemotherapy_type;lv5fu2,platinium;treatment
3;chemo_type;9;chemotherapy_type;capecitabine;treatment
3;chemo_type;10;chemotherapy_type;clinical_trial;treatment
3;chemo_type;11;chemotherapy_type;other;treatment
3;chemo_type;12;chemotherapy_type;gemcitabine,paclitaxel;treatment
3;chemo_type;13;chemotherapy_type;olaparib;treatment
3;pec_initiale_non_met;1;pre_metastasis_treatment;surgery;treatment
3;pec_initiale_non_met;2;pre_metastasis_treatment;chemotherapy;treatment
3;pec_initiale_non_met;3;pre_metastasis_treatment;radiotherapy;treatment
3;chimio_localise;1;chemotherapy_type;folfirinox;treatment
3;chimio_localise;2;chemotherapy_type;folfirinox_modified;treatment
3;chimio_localise;3;chemotherapy_type;folfox;treatment
3;chimio_localise;4;chemotherapy_type;folfiri;treatment
3;chimio_localise;5;chemotherapy_type;gemcitabine;treatment
3;chimio_localise;6;chemotherapy_type;gemcitabine,nab-paclitaxel;treatment
3;chimio_localise;7;chemotherapy_type;clinical_trial;treatment
3;chimio_localise;8;chemotherapy_type;other;treatment
4;spe_autre_localis;;other_chemotherapy_type;;treatment
4;spe_autre_met;;other_chemotherapy_type;;treatment
4;j1c1_met;;first_dose_date;;treatment
4;date_dernier_cycle;;last_dose_date;;treatment
4;j1c1_chimio_1ere;;first_dose_date;;treatment
4;date_chir_post_chimio;;last_dose_date;;treatment
4;nb_chimio_1ere;;number_chemo_cycles;;treatment
3;r_ponse_ct_adj;1;chemotherapy_RECIST_response;stable_disease;treatment
3;r_ponse_ct_adj;2;chemotherapy_RECIST_response;progressive_disease;treatment
3;r_ponse_ct_adj;3;chemotherapy_RECIST_response;partial_response;treatment
3;r_ponse_ct_adj;4;chemotherapy_RECIST_response;complete_response;treatment
3;r_ponse_ct_adj;5;chemotherapy_RECIST_response;no_evaluation;treatment
3;arret_chimio;1;stop_chemotherapy_cause;progression;treatment
3;arret_chimio;2;stop_chemotherapy_cause;instensification;treatment
3;arret_chimio;3;stop_chemotherapy_cause;toxicity;treatment
3;arret_chimio;4;stop_chemotherapy_cause;death;treatment
3;arret_chimio;5;stop_chemotherapy_cause;curative;treatment
3;arret_chimio;6;stop_chemotherapy_cause;lost_patient;treatment
3;arret_chimio;7;stop_chemotherapy_cause;AEG;treatment
3;arret_chimio;8;stop_chemotherapy_cause;pause;treatment
3;arret_chimio;9;stop_chemotherapy_cause;other;treatment
3;arret_chimio;10;stop_chemotherapy_cause;in_progress;treatment
4;dop;;progression_date;;treatment
2;progression_type___1;;progression_type;progression_local;treatment
2;progression_type___2;;progression_type;progression_metastasis;treatment
2;progression_type___3;;progression_type;progression_biologic;treatment
2;progression_type___999;;progression_type;progression_not_specified;treatment
3;reponse_chimio_nadir;1;chemotherapy_RECIST_response;stable_disease;treatment
3;reponse_chimio_nadir;2;chemotherapy_RECIST_response;progressive_disease;treatment
3;reponse_chimio_nadir;3;chemotherapy_RECIST_response;partial_response;treatment
3;reponse_chimio_nadir;4;chemotherapy_RECIST_response;complete_response;treatment
3;reponse_chimio_nadir;5;chemotherapy_RECIST_response;no_evaluation;treatment
1;dmolprof;;date_molecular_profile;;molecular_profile
1;tmb;;tumor_mutational_burden;;molecular_profile
2;type_echantillon___1;;sample_type;tumor_tissue;molecular_profile
2;type_echantillon___2;;sample_type;liquid_biopsy;molecular_profile
3;typesample_pdo ;1;PDO_generation_source;biopsy;clinical-profile
3;typesample_pdo ;2;PDO_generation_source;ascitis;clinical-profile
3;typesample_pdo ;3;PDO_generation_source;surgery;clinical-profile
3;typesample_pdo ;4;PDO_generation_source;pleural_effusion;clinical-profile
3;sitebiopsy_pdo ;1;PDO_generation_biopsy_localisation;liver;clinical-profile
3;sitebiopsy_pdo ;2;PDO_generation_biopsy_localisation;peritoneum;clinical-profile
3;sitebiopsy_pdo ;3;PDO_generation_biopsy_localisation;bone;clinical-profile
3;sitebiopsy_pdo ;4;PDO_generation_biopsy_localisation;lung;clinical-profile
3;sitebiopsy_pdo ;5;PDO_generation_biopsy_localisation;primary_tumour;clinical-profile
3;sitebiopsy_pdo ;6;PDO_generation_biopsy_localisation;other;clinical-profile
3;kras;1;kras;G12A ;molecular_profile
3;kras;2;kras;G12C ;molecular_profile
3;kras;3;kras;G12D ;molecular_profile
3;kras;4;kras;G12L ;molecular_profile
3;kras;5;kras;G12R ;molecular_profile
3;kras;6;kras;G12V ;molecular_profile
3;kras;7;kras;G13D ;molecular_profile
3;kras;8;kras;Q61H ;molecular_profile
3;kras;9;kras;Q61R ;molecular_profile
3;kras;10;kras;P34L ;molecular_profile
3;kras;12;kras;Q61K ;molecular_profile
3;kras;11;kras;Other ;molecular_profile
2;mol_profile___1;;molecular_alterations;ACVR1B ;molecular_profile
2;mol_profile___2;;molecular_alterations;AKT ;molecular_profile
2;mol_profile___3;;molecular_alterations;APC ;molecular_profile
2;mol_profile___4;;molecular_alterations;ARID1A ;molecular_profile
2;mol_profile___5;;molecular_alterations;ATM ;molecular_profile
2;mol_profile___6;;molecular_alterations;ATRX ;molecular_profile
2;mol_profile___7;;molecular_alterations;BRAF ;molecular_profile
2;mol_profile___8;;molecular_alterations;BRCA1/2 ;molecular_profile
2;mol_profile___9;;molecular_alterations;BRD4 ;molecular_profile
2;mol_profile___10;;molecular_alterations;BRIP1 ;molecular_profile
2;mol_profile___11;;molecular_alterations;C17orf39 ;molecular_profile
2;mol_profile___12;;molecular_alterations;CCND1/2/3 ;molecular_profile
2;mol_profile___13;;molecular_alterations;CCNE1 ;molecular_profile
2;mol_profile___14;;molecular_alterations;CDK4 ;molecular_profile
2;mol_profile___15;;molecular_alterations;CDK6 ;molecular_profile
2;mol_profile___16;;molecular_alterations;CDKN2A ;molecular_profile
2;mol_profile___17;;molecular_alterations;CDKN2B ;molecular_profile
2;mol_profile___18;;molecular_alterations;CRKL ;molecular_profile
2;mol_profile___19;;molecular_alterations;CTNNB1 ;molecular_profile
2;mol_profile___20;;molecular_alterations;EGFR ;molecular_profile
2;mol_profile___21;;molecular_alterations;FANC2 ;molecular_profile
2;mol_profile___22;;molecular_alterations;FGF ;molecular_profile
2;mol_profile___23;;molecular_alterations;FGFR ;molecular_profile
2;mol_profile___24;;molecular_alterations;GNAS ;molecular_profile
2;mol_profile___25;;molecular_alterations;HER2/4 ;molecular_profile
2;mol_profile___26;;molecular_alterations;HOXA6/7 ;molecular_profile
2;mol_profile___27;;molecular_alterations;HRAS ;molecular_profile
2;mol_profile___28;;molecular_alterations;IGF1R ;molecular_profile
2;mol_profile___29;;molecular_alterations;INPP4B ;molecular_profile
2;mol_profile___30;;molecular_alterations;KMD5A/6 ;molecular_profile
2;mol_profile___31;;molecular_alterations;KRAS ;molecular_profile
2;mol_profile___32;;molecular_alterations;MCYL ;molecular_profile
2;mol_profile___33;;molecular_alterations;MDM2 ;molecular_profile
2;mol_profile___34;;molecular_alterations;MET ;molecular_profile
2;mol_profile___35;;molecular_alterations;MRE11A ;molecular_profile
2;mol_profile___36;;molecular_alterations;MTAP ;molecular_profile
2;mol_profile___37;;molecular_alterations;MTOR ;molecular_profile
2;mol_profile___38;;molecular_alterations;MYC ;molecular_profile
2;mol_profile___39;;molecular_alterations;NF1/2 ;molecular_profile
2;mol_profile___40;;molecular_alterations;NOTCH1/2 ;molecular_profile
2;mol_profile___41;;molecular_alterations;NRAS ;molecular_profile
2;mol_profile___42;;molecular_alterations;PIK3CA/B/D ;molecular_profile
2;mol_profile___43;;molecular_alterations;PP3CA ;molecular_profile
2;mol_profile___44;;molecular_alterations;PPM1D ;molecular_profile
2;mol_profile___45;;molecular_alterations;PTEN ;molecular_profile
2;mol_profile___46;;molecular_alterations;RAD51C ;molecular_profile
2;mol_profile___47;;molecular_alterations;RB1 ;molecular_profile
2;mol_profile___48;;molecular_alterations;RICTOR ;molecular_profile
2;mol_profile___49;;molecular_alterations;RNF43 ;molecular_profile
2;mol_profile___50;;molecular_alterations;SF3B1 ;molecular_profile
2;mol_profile___51;;molecular_alterations;SMAD4 ;molecular_profile
2;mol_profile___52;;molecular_alterations;SMARCA ;molecular_profile
2;mol_profile___53;;molecular_alterations;STK11 ;molecular_profile
2;mol_profile___54;;molecular_alterations;TERT ;molecular_profile
2;mol_profile___55;;molecular_alterations;TET2 ;molecular_profile
2;mol_profile___56;;molecular_alterations;TP53 ;molecular_profile
2;mol_profile___57;;molecular_alterations;WHSC1L1 ;molecular_profile
2;mol_profile___58;;molecular_alterations;ZNF703 ;molecular_profile
2;mol_profile___59;;molecular_alterations;No mutations found ;molecular_profile
2;mol_profile___60;;molecular_alterations;MUTHY ;molecular_profile
2;mol_profile___61;;molecular_alterations;KEAP1 ;molecular_profile
2;mol_profile___62;;molecular_alterations;MLH1 ;molecular_profile
2;mol_profile___63;;molecular_alterations;PTPN11 ;molecular_profile
2;mol_profile___64;;molecular_alterations;PALB2 ;molecular_profile
2;mol_profile___65;;molecular_alterations;DNMT3A ;molecular_profile
2;mol_profile___66;;molecular_alterations;CHEK2 ;molecular_profile
2;mol_profile___67;;molecular_alterations;CDH1 ;molecular_profile
2;mol_profile___68;;molecular_alterations;EP300 ;molecular_profile
2;mol_profile___69;;molecular_alterations;MYB ;molecular_profile
2;mol_profile___70;;molecular_alterations;RAD21 ;molecular_profile
2;mol_profile___71;;molecular_alterations;BCOR ;molecular_profile
2;mol_profile___72;;molecular_alterations;TSC1/2 ;molecular_profile
2;mol_profile___73;;molecular_alterations;NTRK ;molecular_profile
2;mol_profile___74;;molecular_alterations;EPHB4 ;molecular_profile
2;mol_profile___75;;molecular_alterations;ALK ;molecular_profile
2;mol_profile___76;;molecular_alterations;AXL ;molecular_profile
2;mol_profile___77;;molecular_alterations;MERTK ;molecular_profile
2;mol_profile___78;;molecular_alterations;IRS2 ;molecular_profile
2;mol_profile___79;;molecular_alterations;maP2K4/6 ;molecular_profile
3;msi;1;MSI;MSI;molecular_profile
3;msi;2;MSI;MSS;molecular_profile
3;msi;3;MSI;not_reported;molecular_profile
1;precision_mutation;;precision_mutation ;;molecular_profile

2;date_chir_premiere ;;date_primitive_surgery;;clinical-profile
3;cause_death;1;cause_death;progression;clinical-profile
3;cause_death;2;cause_death;complication;clinical-profile
3;cause_death;3;cause_death;other_cause;clinical-profile
3;cause_death;999;cause_death;not_reported;clinical-profile
3;chir_post_chimio;1;primitive_surgery;yes;clinical-profile
3;chir_post_chimio;2;primitive_surgery;no;clinical-profile
3;cause_death;1;cause_death;progression;clinical-profile
3;cause_death;2;cause_death;complication;clinical-profile
3;cause_death;3;cause_death;other_cause;clinical-profile
3;cause_death;999;cause_death;not_reported;clinical-profile
